epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6713,0.28372,0.31984,0.90358,0.96607,0.96774,0.97084,0.96521,0.19868,0.27504,0.88894,2e-05,2e-05,2e-05
2,48.2325,0.27658,0.3043,0.9002,0.96602,0.96774,0.96687,0.96237,0.19368,0.25348,0.88743,5.8812e-05,5.8812e-05,5.8812e-05
3,70.1294,0.2003,0.2802,0.81954,0.96596,0.96774,0.96554,0.96285,0.19324,0.259,0.88899,9.604e-05,9.604e-05,9.604e-05
4,92.7208,0.20752,0.21331,0.85881,0.96584,0.96774,0.97279,0.96445,0.17658,0.25473,0.8867,0.000131684,0.000131684,0.000131684
5,115.657,0.19204,0.18227,0.82139,0.9657,0.96774,0.9787,0.96792,0.15703,0.24258,0.88447,0.000165744,0.000165744,0.000165744
6,138.623,0.23493,0.31436,0.86854,0.96542,0.96774,0.98793,0.96873,0.18068,0.22698,0.88369,0.00019822,0.00019822,0.00019822
7,159.05,0.23222,0.31303,0.87797,0.96502,0.96774,0.99125,0.97014,0.19136,0.22108,0.88282,0.000229112,0.000229112,0.000229112
8,180.624,0.22078,0.23361,0.85628,0.9648,0.96774,0.99221,0.971,0.18344,0.21385,0.87866,0.00025842,0.00025842,0.00025842
9,201.734,0.19615,0.24484,0.8359,0.96867,0.99739,0.99219,0.97031,0.19571,0.22195,0.87888,0.000286144,0.000286144,0.000286144
10,222.442,0.16758,0.24901,0.83599,0.96869,0.998,0.99219,0.97311,0.20977,0.20962,0.87946,0.000312284,0.000312284,0.000312284
11,243.767,0.18985,0.22058,0.84721,0.9687,0.99848,0.99219,0.97589,0.20468,0.20724,0.87958,0.00033684,0.00033684,0.00033684
12,264.45,0.18228,0.20005,0.83268,0.96872,0.99901,0.99219,0.97605,0.18303,0.21089,0.87762,0.000359812,0.000359812,0.000359812
13,286.384,0.18953,0.27267,0.84201,0.96874,0.99955,0.99312,0.98254,0.15537,0.20643,0.87547,0.0003812,0.0003812,0.0003812
14,306.463,0.16685,0.18937,0.82429,0.96875,0.99999,0.99312,0.98537,0.14872,0.19535,0.87506,0.000401004,0.000401004,0.000401004
15,326.23,0.18762,0.24768,0.82775,0.96875,0.99995,0.99312,0.98565,0.14497,0.19413,0.87606,0.000419224,0.000419224,0.000419224
16,350.941,0.18579,0.19658,0.84363,0.96875,0.99998,0.99219,0.98516,0.15626,0.2059,0.87732,0.00043586,0.00043586,0.00043586
17,372.8,0.18885,0.22219,0.83363,0.96826,1,0.98219,0.97779,0.19044,0.22125,0.88137,0.000450912,0.000450912,0.000450912
18,395.953,0.22546,0.25669,0.87479,0.96801,1,0.98094,0.97668,0.20193,0.22002,0.88183,0.00046438,0.00046438,0.00046438
19,417.077,0.20847,0.24361,0.81768,0.96781,1,0.98406,0.97993,0.18062,0.21594,0.87866,0.000476264,0.000476264,0.000476264
20,438.162,0.18474,0.18098,0.87863,0.96773,1,0.99,0.98605,0.16978,0.21457,0.87969,0.000486564,0.000486564,0.000486564
21,462.522,0.20025,0.27027,0.85495,0.9676,1,0.99312,0.98923,0.16575,0.2182,0.87912,0.00049528,0.00049528,0.00049528
22,488.648,0.19818,0.20355,0.84107,0.96757,1,0.99125,0.98745,0.15208,0.21987,0.87806,0.000502412,0.000502412,0.000502412
23,512.194,0.24564,0.39884,0.8266,0.96746,1,0.99,0.98623,0.14964,0.22268,0.87711,0.00050796,0.00050796,0.00050796
24,534.953,0.19412,0.23671,0.86472,0.96738,1,0.98719,0.98336,0.1572,0.22327,0.8772,0.000511924,0.000511924,0.000511924
25,559.24,0.17016,0.23065,0.7901,0.9673,1,0.98813,0.9842,0.15119,0.22415,0.87556,0.000514304,0.000514304,0.000514304
26,581.547,0.20868,0.28796,0.84887,0.96733,1,0.98906,0.98518,0.15701,0.22141,0.87579,0.0005151,0.0005151,0.0005151
27,601.794,0.17924,0.25181,0.85399,0.96734,1,0.98813,0.98446,0.16166,0.21731,0.87579,0.000514312,0.000514312,0.000514312
28,620.252,0.19341,0.24209,0.82531,0.96734,1,0.98813,0.98446,0.16166,0.21731,0.87579,0.00051194,0.00051194,0.00051194
29,640.559,0.15496,0.23471,0.81244,0.9673,1,0.98813,0.98627,0.14961,0.22088,0.87478,0.000507984,0.000507984,0.000507984
30,662.488,0.22452,0.31661,0.82491,0.96727,1,0.98813,0.98627,0.13565,0.2137,0.87501,0.000502444,0.000502444,0.000502444
31,684.526,0.19281,0.26878,0.83521,0.96727,1,0.98813,0.98627,0.13565,0.2137,0.87501,0.00049532,0.00049532,0.00049532
32,703.938,0.16621,0.21576,0.81937,0.9673,1,0.98906,0.98728,0.13109,0.21584,0.87484,0.000486612,0.000486612,0.000486612
33,723.127,0.18526,0.26916,0.83232,0.9673,1,0.98719,0.98533,0.13451,0.212,0.87428,0.00047632,0.00047632,0.00047632
34,741.997,0.16187,0.23588,0.8394,0.9673,1,0.98719,0.98533,0.13451,0.212,0.87428,0.000464444,0.000464444,0.000464444
35,761.098,0.18771,0.21841,0.84339,0.96729,1,0.98594,0.98397,0.13137,0.20182,0.87402,0.000450984,0.000450984,0.000450984
36,781.3,0.16418,0.22674,0.83106,0.96728,1,0.98594,0.98395,0.12419,0.19232,0.87295,0.00043594,0.00043594,0.00043594
37,800.9,0.16626,0.23179,0.80013,0.96728,1,0.98594,0.98395,0.12419,0.19232,0.87295,0.000419312,0.000419312,0.000419312
38,819.512,0.17991,0.21466,0.84354,0.96728,1,0.98406,0.98222,0.12046,0.18923,0.87265,0.0004011,0.0004011,0.0004011
39,838.39,0.16159,0.22697,0.87713,0.9673,1,0.985,0.9832,0.11593,0.18653,0.87244,0.000381304,0.000381304,0.000381304
