epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6413,0.39388,0.28244,1.19482,0.99816,0.90909,0.98181,0.95676,0.21731,0.21218,0.91723,4e-05,4e-05,4e-05
2,66.3071,0.2924,0.23076,1.05871,0.97573,0.97727,0.98242,0.95958,0.20268,0.19625,0.87695,9.802e-05,9.802e-05,9.802e-05
3,97.9901,0.34081,0.25211,1.06727,0.97243,0.97727,0.98047,0.95977,0.17991,0.18815,0.84711,0.000153664,0.000153664,0.000153664
4,129.24,0.28622,0.24094,0.95743,0.99612,0.97727,0.97947,0.95482,0.17201,0.17913,0.82933,0.000206932,0.000206932,0.000206932
5,158.815,0.31606,0.24295,0.96264,0.99964,0.97727,0.97908,0.9464,0.17706,0.17195,0.84244,0.000257824,0.000257824,0.000257824
6,188.341,0.27338,0.25246,0.91219,1,0.97704,0.9793,0.94863,0.18562,0.16741,0.84222,0.00030634,0.00030634,0.00030634
7,218.621,0.29825,0.26795,0.94169,0.97559,0.97727,0.97912,0.95155,0.1966,0.15822,0.83677,0.00035248,0.00035248,0.00035248
8,247.515,0.26655,0.22188,0.90255,1,0.97073,0.98021,0.95806,0.20344,0.17012,0.83274,0.000396244,0.000396244,0.000396244
9,275.146,0.38075,0.25972,1.02288,1,0.96896,0.98347,0.96776,0.19134,0.1647,0.83366,0.000437632,0.000437632,0.000437632
10,301.884,0.2092,0.18856,0.8692,1,0.97067,0.98635,0.97278,0.18526,0.16827,0.8333,0.000476644,0.000476644,0.000476644
11,328.159,0.30591,0.20709,0.95898,1,0.97074,0.98613,0.97239,0.1818,0.16732,0.83397,0.00051328,0.00051328,0.00051328
12,354.303,0.3045,0.26679,0.97309,1,0.97075,0.98635,0.97278,0.18384,0.16494,0.83178,0.00054754,0.00054754,0.00054754
13,380.359,0.29076,0.24479,0.9535,0.99844,1,0.995,0.97269,0.21701,0.17682,0.82946,0.000579424,0.000579424,0.000579424
14,406.513,0.24962,0.23193,0.92631,0.99841,1,0.995,0.97005,0.22569,0.18101,0.83144,0.000608932,0.000608932,0.000608932
15,433.012,0.22195,0.1954,0.89026,0.99833,1,0.995,0.9694,0.20898,0.16586,0.83665,0.000636064,0.000636064,0.000636064
16,459.53,0.26176,0.21786,0.88132,0.99846,1,0.995,0.96908,0.19468,0.16079,0.8371,0.00066082,0.00066082,0.00066082
17,489.569,0.27945,0.23893,0.93698,0.99855,1,0.995,0.96998,0.21029,0.18357,0.85076,0.0006832,0.0006832,0.0006832
18,517.063,0.24227,0.21301,0.87623,0.99863,1,0.995,0.97048,0.1911,0.18252,0.8552,0.000703204,0.000703204,0.000703204
