epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5674,0.29107,0.28852,0.90662,0.99832,1,0.995,0.995,0.13997,0.14548,0.76875,2e-05,2e-05,2e-05
2,44.8325,0.30452,0.24613,0.9136,0.99834,1,0.995,0.99236,0.14103,0.1386,0.76941,5.8812e-05,5.8812e-05,5.8812e-05
3,64.772,0.18225,0.17159,0.81152,0.99833,1,0.995,0.995,0.15617,0.13686,0.77183,9.604e-05,9.604e-05,9.604e-05
4,85.4906,0.21636,0.19581,0.86168,0.99827,1,0.995,0.995,0.1408,0.14001,0.77095,0.000131684,0.000131684,0.000131684
5,107.416,0.21871,0.20705,0.85462,0.99815,1,0.995,0.995,0.13326,0.13091,0.76902,0.000165744,0.000165744,0.000165744
6,128.497,0.2656,0.24328,0.88254,0.99808,1,0.995,0.995,0.16475,0.15048,0.77124,0.00019822,0.00019822,0.00019822
7,149.81,0.20631,0.21921,0.85333,0.99802,1,0.995,0.995,0.16958,0.16953,0.77037,0.000229112,0.000229112,0.000229112
8,171.144,0.19512,0.19092,0.85004,0.998,1,0.995,0.995,0.15292,0.15907,0.76995,0.00025842,0.00025842,0.00025842
9,192.201,0.24517,0.21807,0.84321,0.99801,1,0.995,0.995,0.1679,0.16226,0.77165,0.000286144,0.000286144,0.000286144
10,212.577,0.21425,0.20875,0.8364,0.99805,1,0.995,0.995,0.17721,0.15838,0.77282,0.000312284,0.000312284,0.000312284
11,232.7,0.19174,0.17366,0.83952,0.99814,1,0.995,0.995,0.15231,0.14827,0.76941,0.00033684,0.00033684,0.00033684
12,251.977,0.19724,0.18002,0.83292,0.99822,1,0.995,0.995,0.12299,0.13894,0.76606,0.000359812,0.000359812,0.000359812
13,270.379,0.19333,0.18979,0.81713,0.99826,1,0.995,0.995,0.12469,0.1414,0.7654,0.0003812,0.0003812,0.0003812
14,288.86,0.19344,0.18668,0.81948,0.99831,1,0.995,0.995,0.15309,0.14969,0.76735,0.000401004,0.000401004,0.000401004
15,307.183,0.16762,0.15357,0.81021,0.99833,1,0.995,0.995,0.16381,0.15159,0.76806,0.000419224,0.000419224,0.000419224
16,325.433,0.19323,0.18043,0.83353,0.99831,1,0.995,0.995,0.16922,0.15728,0.76813,0.00043586,0.00043586,0.00043586
17,345.056,0.20362,0.20646,0.84391,0.99833,1,0.995,0.995,0.16296,0.15585,0.76685,0.000450912,0.000450912,0.000450912
18,366.353,0.21764,0.24705,0.84946,0.99831,1,0.995,0.995,0.15727,0.16075,0.76607,0.00046438,0.00046438,0.00046438
19,387.921,0.20467,0.18692,0.87826,0.99831,1,0.995,0.995,0.15739,0.15885,0.76825,0.000476264,0.000476264,0.000476264
20,412.474,0.20316,0.18335,0.83229,0.99832,1,0.995,0.995,0.16021,0.16101,0.76959,0.000486564,0.000486564,0.000486564
21,437.024,0.20134,0.21861,0.84525,0.99832,1,0.995,0.995,0.14935,0.16049,0.76804,0.00049528,0.00049528,0.00049528
22,461.091,0.18709,0.18003,0.82701,0.9983,1,0.995,0.995,0.13258,0.15567,0.76419,0.000502412,0.000502412,0.000502412
23,482.898,0.20629,0.19228,0.86002,0.99832,1,0.995,0.995,0.13202,0.16385,0.76378,0.00050796,0.00050796,0.00050796
24,504.052,0.19075,0.178,0.83875,0.99829,1,0.995,0.995,0.14717,0.17349,0.76493,0.000511924,0.000511924,0.000511924
25,524.74,0.15525,0.14782,0.81022,0.99829,1,0.995,0.995,0.1562,0.17085,0.76647,0.000514304,0.000514304,0.000514304
26,545.187,0.19268,0.1958,0.8698,0.99831,1,0.995,0.995,0.15428,0.16402,0.7671,0.0005151,0.0005151,0.0005151
27,565.067,0.18877,0.17084,0.83142,0.9983,1,0.995,0.995,0.14676,0.16533,0.76646,0.000514312,0.000514312,0.000514312
28,584.631,0.19274,0.1916,0.84796,0.9983,1,0.995,0.995,0.14676,0.16533,0.76646,0.00051194,0.00051194,0.00051194
29,604.46,0.17566,0.19047,0.85279,0.99827,1,0.995,0.995,0.13023,0.16374,0.7651,0.000507984,0.000507984,0.000507984
30,625.576,0.20867,0.20413,0.85527,0.99828,1,0.995,0.995,0.12597,0.16497,0.7641,0.000502444,0.000502444,0.000502444
31,647.063,0.18648,0.2001,0.85034,0.99828,1,0.995,0.995,0.12597,0.16497,0.7641,0.00049532,0.00049532,0.00049532
32,667.89,0.17392,0.1704,0.83279,0.99829,1,0.995,0.995,0.13582,0.16593,0.7647,0.000486612,0.000486612,0.000486612
33,688.609,0.16044,0.15609,0.84085,0.9983,1,0.995,0.995,0.15188,0.17777,0.76554,0.00047632,0.00047632,0.00047632
