epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.297,2.54553,6.5219,2.45677,0.0088,1,0.09303,0.02921,0.53294,4.70617,0.4788,0.00026,0.00026,0.00026
2,257.702,1.77476,2.53639,1.65443,0.33415,0.54545,0.42843,0.19376,0.54081,5.49534,0.49768,0.000529308,0.000529308,0.000529308
3,380.848,1.62321,2.7008,1.71958,0.02347,1,0.23636,0.10396,0.47909,6.89417,0.44478,0.000787528,0.000787528,0.000787528
4,503.47,1.42428,2.18543,1.54517,0.1978,0.93182,0.2966,0.14509,0.5262,12.4764,0.52605,0.00103466,0.00103466,0.00103466
5,625.844,1.47317,2.09733,1.65703,0.20092,0.95455,0.27035,0.12422,0.56562,26.0773,0.54296,0.0012707,0.0012707,0.0012707
6,748.624,1.39625,1.97254,1.50124,0.20069,0.95455,0.23942,0.13182,0.41079,12.7731,0.44124,0.00149566,0.00149566,0.00149566
7,872.685,1.45664,1.92701,1.56446,0.20536,0.97727,0.31658,0.14703,0.45606,12.0413,0.46689,0.00170953,0.00170953,0.00170953
8,997.797,1.5333,1.95629,1.65539,0.16712,0.95455,0.34005,0.14182,0.50589,3.97545,0.52054,0.0017228,0.0017228,0.0017228
9,1123.17,1.64139,1.90905,1.74096,0.22561,0.90714,0.35555,0.19713,0.36529,9.68421,0.44404,0.0016832,0.0016832,0.0016832
10,1249.5,1.64241,2.14381,1.78745,0.20036,0.95455,0.19675,0.112,0.47133,9.25138,0.64256,0.0016436,0.0016436,0.0016436
11,1373.99,1.60784,2.07408,1.75351,0.20419,0.97727,0.20714,0.08912,0.525,3.57794,0.62741,0.001604,0.001604,0.001604
12,1498.01,1.59884,1.83454,1.82688,0.20063,0.95455,0.2767,0.16709,0.39972,10.5664,0.58737,0.0015644,0.0015644,0.0015644
13,1620.21,1.59249,1.80104,1.81348,0.20069,0.95455,0.28461,0.14042,0.40468,20.3819,0.59647,0.0015248,0.0015248,0.0015248
14,1750.25,1.57879,2.0325,1.748,0.20028,0.95455,0.539,0.28175,0.39102,14.4823,0.51277,0.0014852,0.0014852,0.0014852
15,1877.72,1.45715,1.90527,1.68936,0.20047,0.95455,0.35265,0.19865,0.41676,15.3868,0.5791,0.0014456,0.0014456,0.0014456
16,2003.39,1.47284,1.79407,1.68339,0.20045,0.95455,0.26824,0.15326,0.47684,10.8637,0.67059,0.001406,0.001406,0.001406
17,2129.24,1.46543,1.72013,1.62124,0.20041,0.95455,0.24006,0.1381,0.43844,9.67445,0.58453,0.0013664,0.0013664,0.0013664
18,2252.31,1.41946,1.77585,1.57492,0.10288,0.95455,0.20275,0.07292,0.42091,15.6627,0.58601,0.0013268,0.0013268,0.0013268
19,2374.5,1.44842,1.85623,1.64589,0.20062,0.95455,0.21526,0.11496,0.39682,13.2601,0.59286,0.0012872,0.0012872,0.0012872
20,2498.23,1.33873,1.85666,1.58932,0.20042,0.95455,0.19966,0.11339,0.43169,15.7828,0.63271,0.0012476,0.0012476,0.0012476
21,2620.66,1.41841,1.7303,1.66472,0.20056,0.95455,0.20031,0.10727,0.47549,13.1717,0.68533,0.001208,0.001208,0.001208
22,2742.71,1.52101,1.95548,1.77757,0.20051,0.95455,0.22289,0.13082,0.48045,10.9571,0.66514,0.0011684,0.0011684,0.0011684
23,2865.66,1.48339,1.79771,1.69696,0.20051,0.95455,0.33414,0.19449,0.46908,10.4781,0.63514,0.0011288,0.0011288,0.0011288
24,3097.87,1.48662,2.09267,1.70915,0.20038,0.95455,0.32981,0.18978,0.41187,9.37321,0.58834,0.0010892,0.0010892,0.0010892
25,3334.52,1.37304,1.70986,1.58649,0.2005,0.95455,0.32169,0.18163,0.41063,10.8711,0.58098,0.0010496,0.0010496,0.0010496
26,3573.01,1.65301,1.91653,1.94281,0.20054,0.95455,0.23324,0.12641,0.40689,13.8541,0.57777,0.00101,0.00101,0.00101
