epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3495,0.20532,0.20142,0.85284,0.99794,1,0.995,0.995,0.13323,0.2173,0.70067,2e-05,2e-05,2e-05
2,46.1365,0.18936,0.21488,0.83914,0.99796,1,0.995,0.995,0.12978,0.19666,0.69928,5.8812e-05,5.8812e-05,5.8812e-05
3,66.5381,0.15318,0.15913,0.83965,0.99788,1,0.995,0.995,0.12918,0.17549,0.6988,9.604e-05,9.604e-05,9.604e-05
4,86.398,0.18585,0.18427,0.84515,0.99787,1,0.995,0.995,0.11397,0.16294,0.69624,0.000131684,0.000131684,0.000131684
5,106.297,0.16804,0.17733,0.81271,0.99794,1,0.995,0.995,0.10332,0.16023,0.6946,0.000165744,0.000165744,0.000165744
6,127.629,0.1795,0.20284,0.88081,0.99791,1,0.995,0.995,0.09946,0.15593,0.69178,0.00019822,0.00019822,0.00019822
7,147.66,0.17177,0.19688,0.84314,0.99817,1,0.995,0.995,0.10603,0.15537,0.68575,0.000229112,0.000229112,0.000229112
8,168.469,0.14697,0.15595,0.85339,0.99824,1,0.995,0.995,0.12044,0.1452,0.68602,0.00025842,0.00025842,0.00025842
9,190.367,0.15872,0.15682,0.8022,0.99829,1,0.995,0.995,0.13613,0.15053,0.68685,0.000286144,0.000286144,0.000286144
10,210.615,0.16541,0.18728,0.83781,0.99828,1,0.995,0.995,0.15559,0.17352,0.68988,0.000312284,0.000312284,0.000312284
11,231.83,0.16302,0.18446,0.85954,0.99832,1,0.995,0.995,0.15915,0.19348,0.69166,0.00033684,0.00033684,0.00033684
12,251.644,0.16326,0.17854,0.85526,0.9983,1,0.995,0.995,0.14301,0.19977,0.69197,0.000359812,0.000359812,0.000359812
13,274.116,0.15006,0.17552,0.81245,0.99832,1,0.995,0.995,0.12631,0.19248,0.69172,0.0003812,0.0003812,0.0003812
14,292.904,0.15861,0.17203,0.8508,0.9983,1,0.995,0.995,0.1214,0.19181,0.68996,0.000401004,0.000401004,0.000401004
15,312.445,0.13904,0.15772,0.80229,0.99829,1,0.995,0.995,0.12665,0.20168,0.69056,0.000419224,0.000419224,0.000419224
16,331.566,0.13358,0.16303,0.80791,0.99826,1,0.995,0.995,0.12338,0.1937,0.691,0.00043586,0.00043586,0.00043586
17,351.666,0.1395,0.14193,0.82875,0.9982,1,0.995,0.995,0.12455,0.1839,0.68963,0.000450912,0.000450912,0.000450912
18,371.097,0.17718,0.20227,0.85419,0.9982,1,0.995,0.995,0.12593,0.19566,0.68867,0.00046438,0.00046438,0.00046438
19,390.481,0.15579,0.17279,0.84252,0.99819,1,0.995,0.995,0.13571,0.2095,0.69039,0.000476264,0.000476264,0.000476264
20,409.899,0.15044,0.17016,0.84122,0.99822,1,0.995,0.995,0.14516,0.21815,0.68967,0.000486564,0.000486564,0.000486564
21,428.811,0.17326,0.17519,0.80847,0.99828,1,0.995,0.995,0.15397,0.22195,0.68645,0.00049528,0.00049528,0.00049528
22,448.538,0.15854,0.16485,0.84288,0.99828,1,0.995,0.995,0.14724,0.2015,0.68314,0.000502412,0.000502412,0.000502412
